category,question,options
General,"Would you rather climb a building without a rope, be on a plane with a drunk pilot, or ride a unicycle down a steep hill?"
General,"Who is the funniest character on The Big Bang Theory: Leonard, Howard or Raj?"
General,"How many roads must a man walk down before you all him a man?"
General,"Is it acceptable to leave the house without wearing underwear?"
General,"What is the best decade for music?"
General,"Toilet roll: should the loose sheet be on the outside away from the wall or on the inside nearer the wall?"
General,"What is the smallest number of cows that you can still call a herd?"
General,"What would you rather: run around the street naked, take a selfie of yourself on the toilet and post it on social media, or have someone slap you hard across the face?"
General,"If you had to choose, which would be your preferred life partner: Donald Trump, Boris Johnson or Liz Truss"
General,"Would you rather live on the antarctic for a month or on the international space station for three months?"
General,"There are two people tied to a rail track. On an adjacent track there is one person tied to it. The train is coming down the track heading straight for the two people. If you pull a level, the train will change track and kill the one person on the adjacent track. Do you pull the switch and have a hand in killing someone or choose not to intervene?"
General,"Which produces the better sound: a saxophone, acoustic guitar or harmonica?"
General,"What is the best type of chocolate: white, milk or dark?"
General,"Would you rather be a pirate, a con artist or a bank robber?"
General,"If from now on you can only eat one type of food, what would it be?"
General,"Who would win in a fight between Pinocchio and Little Red Riding Hood?"
General,"What is the maximum number of days that you can wear socks without washing them?"
General,"WBlank Slate,"000 metres?""
General,"Name a hobby beginning with K"
General,"What is the best part of November 5th: the bonfire or the fireworks?"
General,"What's the weirdest looking animal?"
General,"Who do you wish lived in our world: Batman, Wonder Woman or Spiderman?"
General,"What is the best part of a Sunday lunch?"
General,"Name a cartoon character"
General,"What is the best TV show: Only Fools and Horses, Red Dwarf or Fawlty Towers"
General,"What would be your preferred pet: a python or a tarantula?"
General,"What is the most English country that isn't England?"
General,"Who hosts the wildest parties: David Bowie, Boris Johnson or Braveheart?"
General,"Name a type of dancing"
General,"What is your least favourite season?"
General,"Name a bank"
General,"Name a food beginning with H"
General,"What is your favorite thing to put ketchup on?"
General,"What kind of food would you like to take a bath in?"
General,"If you had to pick one food to eat for the rest of your life, what would it be?"
General,"Would you rather have ice cream,cake or cookies?"
General,"What’s the best pizza topping?"
General,"What is the best soup?"
General,"What’s the best ice cream sundae topping?"
General,"If a friend was going to throw food at you, what would you choose?"
General,"If you had a magical tree that grew any food you wanted, what would you grow?"
General,"Would you rather have a popsicle or a pickle or peanuts?"
General,"If you could create magical cupcakes, what power would they give you?"
General,"What’s the best pet?"
General,"What’s the best subject?"
General,"What kind of car do you want when you’re older?"
General,"What’s your favorite book?"
General,"What’s your favorite tv show?"
General,"What’s your favorite sports team?"
General,"Would you rather ride a horse,, motorcycle or in a convertible?"
General,"Would you rather have a pet unicorn, sloth or dragon?"
General,"Would you rather live someplace that's warm all the time or someplace where there's always snow on the ground?"
General,"What's your favorite animal?"
General,"What do you like to do most when you go to a playground?"
General,"Whos’ the best superhero?"
General,"Who’s the best princess?"
General,"If you could learn any language what would it be?"
General,"If you could play any instrument what would it be?"
General,"What is something related to vampires."
General,"What is a house that you never want to be in."
General,"What’s something you only wear for special events?"
General,"If you could go to the Land of Oz, what one thing would you ask the Wizard for?"
General,"Name a popular Vacation destination"
General,"Name a fruit you might eat in the morning"
General,"Name something people lose often"
General,"Name a popular type of pie"
General,"Name a type of flower"
General,"Name a famous cartoon character"
General,"Name something people are often afraid of"
General,"Name a common household chore"
General,"Name a popular sport"
General,"Name something people do to relax"
General,"Name a piece of furniture people commonly have in their bedroom"
General,"Name a fast-food chain."
General,"Name a car brand"
General,"Name a popular board game."
General,"Name a social media platform"
General,"Name a job in the medical field"
General,"Name a type of cake"
General,"Name a body part people often injure."
General,"Name a vegetable that kids refuse to eat"
General,"Name a popular fairy tale"
General,"Name a popular holiday movie"
General,"Name a brand of shoe"
General,"Name a type of seafood."
General,"Name a popular candy bar"
General,"Name a hobby people have."
General,"Name a type of cheese."
General,"Name something you do when you are sick."
General,"Name something kids love about summer."
General,"Name a place where you have to be quiet."
General,"Name something cold."
General,"Name a color of the rainbow."
General,"Name something hot."
General,"Name something an astronaut sees in space."
General,"Name something a kid might do right before going to bed."
General,"Name something people write with."
General,"Name something you might see at the beach."
General,"Name something a person does when he/she feels happy"
General,"Name a way people get from one place to another."
General,"Name something you would put in a bath."
General,"Name a food you might eat at Thanksgiving"
General,"Name a tree that has fruit on it."
General,"Name a popular Christmas carol."
General,"Name an occupation in which you might wear a hat. Name something you might climb"
General,"Name an animal you might see on a farm."
General,"Name something you might spread on toast."
General,"Name a plant someone might grow in their garden."
General,"What’s something you might find on the ground of a messy bedroom."
General,"Name something associated with pirates."
General,"Name something associated with a princess."
General,"Name something associated with Halloween."
General,"Name something you might find in a haunted house."
General,"Name a word that rhymes with “honey.”"
General,"Name something kids throw at each other."
General,"Name something kids lose a lot."
General,"Name a place kids aren’t allowed to touch things."
General,"Name a character from Frozen"
General,"Name an excuse you might tell for why you don’t have your homework."
